"PROTEIN","ID","Gene","t","N","S","dN.dS","dN","dS","N.dN","S.dS"
"augustus_masked-scaffold533-size168304-abinit-gene-0.5-mRNA-1","00424","424",0.089,716.3,237.7,0.1277,0.011,0.086,7.9,20.4
"snap_masked-scaffold533-size168304-abinit-gene-0.12-mRNA-1","00425","425",0.102,138.7,41.3,0.0219,0.003,0.1378,0.4,5.7
"maker-scaffold533-size168304-augustus-gene-0.18-mRNA-1","00427","427",0.097,352.8,142.2,0.0142,0.0015,0.1082,0.5,15.4
"maker-scaffold533-size168304-augustus-gene-0.15-mRNA-1","00428","428",0.045,1288.6,454.4,0.0363,0.0019,0.0526,2.5,23.9
"maker-scaffold533-size168304-augustus-gene-0.19-mRNA-1","00431","431",0.076,953.7,270.3,0.044,0.0044,0.0995,4.2,26.9
"maker-scaffold533-size168304-snap-gene-0.26-mRNA-1","00432","432",0.075,3186.6,1037.4,0.1269,0.0093,0.0734,29.7,76.1
"augustus_masked-scaffold533-size168304-abinit-gene-1.2-mRNA-1","00434","434",0.119,2107.9,655.1,0.1877,0.0195,0.1041,41.2,68.2
"maker-scaffold533-size168304-augustus-gene-1.36-mRNA-1","00437","437",0.046,1434,360,0.0666,0.004,0.0599,5.7,21.5
"augustus_masked-scaffold533-size168304-abinit-gene-1.11-mRNA-1","00440","440",0.029,843.7,236.3,0.1042,0.0034,0.0326,2.9,7.7
"augustus_masked-scaffold533-size168304-abinit-gene-1.10-mRNA-1","00444","444",0.127,859.7,253.3,0.0565,0.0088,0.1562,7.6,39.6
"augustus_masked-scaffold533-size168304-abinit-gene-1.5-mRNA-1","00446","446",0.091,403.2,115.8,0.0256,0.0032,0.1246,1.3,14.4
"maker-scaffold137-size142473-augustus-gene-0.36-mRNA-1","00456","456",0.054,779.4,243.6,0.0701,0.0043,0.0615,3.4,15
"maker-scaffold137-size142473-augustus-gene-0.40-mRNA-1","00459","459",0.076,691.3,190.7,0.0287,0.0031,0.1065,2.1,20.3
"maker-scaffold137-size142473-augustus-gene-0.35-mRNA-1","00461","461",0.056,877.3,277.7,0.0434,0.003,0.0688,2.6,19.1
"maker-scaffold137-size142473-snap-gene-0.66-mRNA-1","00465","465",0.057,902.6,285.4,0.1759,0.0089,0.0504,8,14.4
"maker-scaffold137-size142473-augustus-gene-0.43-mRNA-1","00466","466",0.068,364.3,124.7,0.0341,0.0027,0.0803,1,10
"augustus_masked-scaffold137-size142473-abinit-gene-0.11-mRNA-1","00467","467",0.104,603.9,146.1,0.0559,0.0081,0.1452,4.9,21.2
"augustus_masked-scaffold137-size142473-abinit-gene-0.18-mRNA-1","00471","471",0.083,887.1,351.9,0.0516,0.0045,0.0863,4,30.4
"maker-scaffold137-size142473-augustus-gene-0.47-mRNA-1","00473","473",0.092,789.5,248.5,0.0394,0.0045,0.1143,3.6,28.4
"snap_masked-scaffold137-size142473-abinit-gene-0.33-mRNA-1","00474","474",0.034,942.1,296.9,0.0566,0.0023,0.0405,2.2,12
"augustus_masked-scaffold137-size142473-abinit-gene-1.2-mRNA-1","00478","478",0.07,2021,571,0.0534,0.0047,0.0886,9.6,50.6
"snap_masked-scaffold137-size142473-abinit-gene-1.7-mRNA-1","00480","480",0.161,609.1,176.9,0.0303,0.0066,0.2163,4,38.3
"augustus_masked-scaffold137-size142473-abinit-gene-1.5-mRNA-1","00481","481",0.076,339,108,0.0256,0.0025,0.0975,0.8,10.5
"augustus_masked-scaffold137-size142473-abinit-gene-1.3-mRNA-1","00482","482",0.125,1228.7,430.3,0.1134,0.0138,0.1216,16.9,52.3
"maker-scaffold876-size53123-augustus-gene-0.25-mRNA-1","00483","483",0.141,1356.8,323.2,0.1049,0.0178,0.1699,24.2,54.9
"maker-scaffold876-size53123-augustus-gene-0.26-mRNA-1","00484","484",0.041,1013.4,285.6,0.0327,0.0018,0.055,1.8,15.7
"augustus_masked-scaffold876-size53123-abinit-gene-0.9-mRNA-1","00485","485",0.07,371.9,135.1,0.0649,0.0048,0.0745,1.8,10.1
"augustus_masked-scaffold876-size53123-abinit-gene-0.8-mRNA-1","00487","487",0.04,228.5,47.5,0.0182,0.0013,0.071,0.3,3.4
"maker-scaffold876-size53123-augustus-gene-0.24-mRNA-1","00488","488",0.129,2204.7,810.3,0.1892,0.02,0.1057,44.1,85.6
"augustus_masked-scaffold876-size53123-abinit-gene-0.4-mRNA-1","00490","490",0.09,981.9,236.1,0.0528,0.0067,0.1276,6.6,30.1
"maker-scaffold876-size53123-augustus-gene-0.32-mRNA-1","00491","491",0.102,506.3,159.7,0.0906,0.01,0.1098,5,17.5
"maker-scaffold876-size53123-snap-gene-0.40-mRNA-1","00493","493",0.093,2513.4,717.6,0.1178,0.0117,0.0991,29.4,71.1
"maker-scaffold3889-size12602-augustus-gene-0.9-mRNA-1","00501","501",0.087,1184,316,0.0636,0.0071,0.111,8.4,35.1
"augustus_masked-scaffold3889-size12602-abinit-gene-0.4-mRNA-1","00502","502",0.137,1398.1,275.9,0.0385,0.0089,0.2321,12.5,64
"maker-scaffold3889-size12602-augustus-gene-0.11-mRNA-1","00505","505",0.047,979,230,0.05,0.0034,0.0676,3.3,15.5
"augustus_masked-scaffold4068-size4361-abinit-gene-0.0-mRNA-1","00513","513",0.079,1140.6,317.4,0.0548,0.0055,0.1009,6.3,32
"maker-scaffold1180-size62145-augustus-gene-0.25-mRNA-1","00514","514",0.218,1480.8,451.2,0.085,0.0207,0.2438,30.7,110
"augustus_masked-scaffold1180-size62145-abinit-gene-0.10-mRNA-1","00515","515",0.167,1608.9,461.1,0.015,0.0036,0.2375,5.7,109.5
"maker-scaffold1180-size62145-augustus-gene-0.27-mRNA-1","00516","516",0.15,9400.7,2284.3,0.0365,0.0081,0.2226,76.4,508.6
"augustus_masked-scaffold1180-size62145-abinit-gene-0.8-mRNA-1","00518","518",0.209,224.4,60.6,0.004,0.0013,0.3232,0.3,19.6
"maker-scaffold1180-size62145-augustus-gene-0.24-mRNA-1","00519","519",0.104,333.1,116.9,0.1201,0.012,0.0998,4,11.7
"augustus_masked-scaffold1180-size62145-abinit-gene-0.9-mRNA-1","00521","521",0.171,967.6,304.4,0.0751,0.0145,0.1928,14,58.7
"augustus_masked-scaffold1180-size62145-abinit-gene-0.7-mRNA-1","00522","522",0.255,176.1,63.9,0.0824,0.0214,0.2602,3.8,16.6
"maker-scaffold1180-size62145-augustus-gene-0.30-mRNA-1","00524","524",0.222,283.2,61.8,0.0591,0.0192,0.3255,5.4,20.1
"maker-scaffold1180-size62145-augustus-gene-0.29-mRNA-1","00525","525",0.145,690.6,212.4,0.05,0.0088,0.1768,6.1,37.6
"augustus_masked-scaffold1858-size21074-abinit-gene-0.2-mRNA-1","00527","527",0.058,371.3,93.7,0.0613,0.0047,0.0765,1.7,7.2
"maker-scaffold1858-size21074-augustus-gene-0.10-mRNA-1","00528","528",0.152,869.6,225.4,0.1092,0.0189,0.1728,16.4,38.9
"maker-scaffold1858-size21074-snap-gene-0.12-mRNA-1","00530","530",0.074,663.9,221.1,0.09,0.007,0.0776,4.6,17.1
"maker-scaffold884-size34438-augustus-gene-0.6-mRNA-1","00531","531",0.084,769.2,232.8,0.0808,0.0077,0.0948,5.9,22.1
"maker-scaffold2342-size23658-snap-gene-0.14-mRNA-1","00533","533",0.179,1006.5,289.5,0.1387,0.0251,0.1807,25.2,52.3
"maker-scaffold2342-size23658-snap-gene-0.13-mRNA-1","00534","534",0.094,477.2,122.8,0.1074,0.0116,0.1083,5.6,13.3
"maker-scaffold2342-size23658-snap-gene-0.15-mRNA-1","00536","536",0.106,354.6,95.4,0.1389,0.0152,0.1097,5.4,10.5
"augustus_masked-scaffold2342-size23658-abinit-gene-0.2-mRNA-1","00537","537",0.091,1036.2,271.8,0.065,0.0076,0.1169,7.9,31.8
"maker-scaffold1844-size26607-augustus-gene-0.7-mRNA-1","00543","543",0.02,1714.2,481.8,0.0204,6e-04,0.0276,1,13.3
"maker-scaffold1844-size26607-augustus-gene-0.9-mRNA-1","00544","544",0.191,2160.2,443.8,0.0593,0.0172,0.2897,37.1,128.6
"augustus_masked-scaffold1844-size26607-abinit-gene-0.0-mRNA-1","00545","545",0.141,143.5,42.5,0.285,0.0299,0.1048,4.3,4.4
"maker-scaffold2085-size18323-augustus-gene-0.10-mRNA-1","00548","548",0.039,573.1,188.9,0.0241,0.0012,0.049,0.7,9.3
"augustus_masked-scaffold2085-size18323-abinit-gene-0.4-mRNA-1","00551","551",0.159,477.4,140.6,0.077,0.0142,0.1841,6.8,25.9
"augustus_masked-scaffold2085-size18323-abinit-gene-0.2-mRNA-1","00552","552",0.092,524.2,156.8,0.0866,0.0089,0.1032,4.7,16.2
"maker-scaffold2551-size24767-augustus-gene-0.5-mRNA-1","00553","553",0.099,1592.8,363.2,0.0592,0.0083,0.1411,13.3,51.2
"maker-scaffold41-size76970-augustus-gene-0.29-mRNA-1","00555","555",0.071,1044.8,332.2,0.0641,0.0052,0.0814,5.5,27.1
"maker-scaffold41-size76970-snap-gene-0.41-mRNA-1","00557","557",0.122,468,165,0.0549,0.0074,0.1349,3.5,22.3
"maker-scaffold41-size76970-snap-gene-0.42-mRNA-1","00559","559",0.142,1023.9,347.1,0.0693,0.0107,0.1549,11,53.8
"augustus_masked-scaffold41-size76970-abinit-gene-0.11-mRNA-1","00561","561",0.12,719.1,246.9,0.0726,0.0093,0.1287,6.7,31.8
"maker-scaffold41-size76970-snap-gene-0.47-mRNA-1","00562","562",0.05,815.2,291.8,0.0391,0.0022,0.057,1.8,16.6
"maker-scaffold41-size76970-augustus-gene-0.34-mRNA-1","00564","564",0.059,524.3,171.7,0.0617,0.0042,0.0673,2.2,11.6
"maker-scaffold41-size76970-augustus-gene-0.37-mRNA-1","00565","565",0.066,2003.1,693.9,0.023,0.0018,0.0799,3.7,55.4
"maker-scaffold41-size76970-snap-gene-0.44-mRNA-1","00568","568",0.086,1418.9,501.1,0.0575,0.0054,0.0941,7.7,47.2
"snap_masked-scaffold342-size104272-abinit-gene-0.15-mRNA-1","00573","573",0.1,1091.9,228.1,0.0308,0.0052,0.1679,5.6,38.3
"maker-scaffold342-size104272-augustus-gene-0.21-mRNA-1","00574","574",0.117,1205.6,387.4,0.0461,0.0064,0.1397,7.8,54.1
"augustus_masked-scaffold342-size104272-abinit-gene-0.0-mRNA-1","00575","575",0.18,455.7,144.3,0.0772,0.0155,0.2006,7.1,28.9
"augustus_masked-scaffold342-size104272-abinit-gene-0.1-mRNA-1","00579","579",0.066,4586.2,1140.8,0.0283,0.0028,0.0999,13,113.9
"maker-scaffold342-size104272-snap-gene-0.33-mRNA-1","00580","580",0.048,295.5,100.5,0.1044,0.005,0.0483,1.5,4.9
"maker-scaffold342-size104272-augustus-gene-0.24-mRNA-1","00582","582",0.064,1535.3,519.7,0.0352,0.0027,0.0769,4.1,40
"maker-scaffold1431-size73768-augustus-gene-0.25-mRNA-1","00586","586",0.088,1541.7,552.3,0.0336,0.0034,0.1019,5.3,56.3
"augustus_masked-scaffold1431-size73768-abinit-gene-0.1-mRNA-1","00587","587",0.086,1009.8,382.2,0.0382,0.0036,0.095,3.7,36.3
"maker-scaffold1431-size73768-augustus-gene-0.26-mRNA-1","00588","588",0.06,2383.6,793.4,0.0566,0.0039,0.0682,9.2,54.1
"maker-scaffold1431-size73768-augustus-gene-0.22-mRNA-1","00589","589",0.014,482.3,141.7,0.0388,7e-04,0.0178,0.3,2.5
"augustus_masked-scaffold1431-size73768-abinit-gene-0.5-mRNA-1","00591","591",0.095,861.2,341.8,0.0534,0.0052,0.0978,4.5,33.4
"maker-scaffold334-size40663-snap-gene-0.4-mRNA-1","00597","597",0.116,1072.2,319.8,0.0759,0.0102,0.1345,10.9,43
"augustus_masked-scaffold1460-size70535-abinit-gene-0.2-mRNA-1","00600","600",0.023,805.7,223.3,0.0103,3e-04,0.0338,0.3,7.6
"maker-scaffold1460-size70535-augustus-gene-0.12-mRNA-1","00602","602",0.128,1269.5,386.5,0.0459,0.0073,0.1591,9.3,61.5
"augustus_masked-scaffold565-size33497-abinit-gene-0.2-mRNA-1","00604","604",0.059,1325.6,459.4,0.0915,0.0056,0.0608,7.4,27.9
"maker-scaffold565-size33497-snap-gene-0.14-mRNA-1","00606","606",0.112,482.2,165.8,0.0955,0.0109,0.1145,5.3,19
"maker-scaffold565-size33497-augustus-gene-0.9-mRNA-1","00607","607",0.062,2042.9,597.1,0.0268,0.0023,0.0842,4.6,50.3
"maker-scaffold2176-size13434-snap-gene-0.4-mRNA-1","00609","609",0.043,1584.8,476.2,0.0379,0.0021,0.0553,3.3,26.3
"maker-scaffold1558-size47948-snap-gene-0.8-mRNA-1","00610","610",0.085,2717,784,0.0331,0.0038,0.1139,10.2,89.3
"maker-scaffold1980-size43135-snap-gene-0.8-mRNA-1","00612","612",0.038,594.6,164.4,0.142,0.0055,0.0387,3.3,6.4
"snap_masked-scaffold776-size52828-abinit-gene-0.12-mRNA-1","00617","617",0.21,231.3,71.7,0.3099,0.0459,0.148,10.6,10.6
"snap_masked-scaffold335-size222527-abinit-gene-0.2-mRNA-1","00627","627",0.014,743.5,252.5,0.0835,0.0013,0.0151,0.9,3.8
"maker-scaffold335-size222527-snap-gene-1.20-mRNA-1","00633","633",0.064,2184.1,740.9,0.0104,8e-04,0.0811,1.9,60.1
"maker-scaffold335-size222527-snap-gene-2.16-mRNA-1","00636","636",0.049,517.6,124.4,0.0804,0.0051,0.0634,2.6,7.9
"augustus_masked-scaffold335-size222527-abinit-gene-2.3-mRNA-1","00637","637",0.062,526.2,139.8,0.0851,0.0064,0.0749,3.4,10.5
"maker-scaffold335-size222527-snap-gene-2.17-mRNA-1","00638","638",0.139,611.1,204.9,0.2779,0.0279,0.1005,17.1,20.6
"snap_masked-scaffold335-size222527-abinit-gene-2.6-mRNA-1","00639","639",0.058,294.8,86.2,0.1821,0.0095,0.0523,2.8,4.5
"maker-scaffold871-size56257-snap-gene-0.6-mRNA-1","00641","641",0.058,2352.6,761.4,0.0383,0.0027,0.0709,6.4,54
"maker-scaffold437-size119360-augustus-gene-0.36-mRNA-1","00642","642",0.125,799.6,262.4,0.0254,0.004,0.1564,3.2,41
"maker-scaffold437-size119360-augustus-gene-0.32-mRNA-1","00643","643",0.085,1316.7,426.3,0.0604,0.0059,0.0975,7.8,41.6
"maker-scaffold437-size119360-snap-gene-0.48-mRNA-1","00644","644",0.018,670.5,172.5,0.0553,0.0013,0.0243,0.9,4.2
"maker-scaffold437-size119360-augustus-gene-0.34-mRNA-1","00645","645",0.184,1159.2,352.8,0.1066,0.0207,0.1943,24,68.5
"augustus_masked-scaffold437-size119360-abinit-gene-0.0-mRNA-1","00647","647",0.104,889.1,208.9,0.0696,0.0098,0.1411,8.7,29.5
"maker-scaffold437-size119360-augustus-gene-0.39-mRNA-1","00651","651",0.108,1440.3,455.7,0.1059,0.0119,0.1125,17.2,51.3
"maker-scaffold437-size119360-snap-gene-0.55-mRNA-1","00652","652",0.138,1035.6,374.4,0.1339,0.017,0.1267,17.6,47.4
"maker-scaffold437-size119360-augustus-gene-1.14-mRNA-1","00661","661",0.052,526.9,118.1,0.0645,0.0047,0.0729,2.5,8.6
"augustus_masked-scaffold437-size119360-abinit-gene-1.5-mRNA-1","00663","663",0.13,256,47,0.0395,0.0091,0.2304,2.3,10.8
"maker-scaffold235-size190281-augustus-gene-0.12-mRNA-1","00665","665",0.088,706.6,205.4,0.0674,0.0071,0.1055,5,21.7
"maker-scaffold235-size190281-snap-gene-0.17-mRNA-1","00667","667",0.088,657.9,176.1,0.1257,0.0119,0.0944,7.8,16.6
"augustus_masked-scaffold235-size190281-abinit-gene-0.2-mRNA-1","00670","670",0.119,560.8,147.2,0.0419,0.0069,0.164,3.9,24.1
"snap_masked-scaffold235-size190281-abinit-gene-1.6-mRNA-1","00671","671",0.047,112.6,16.4,0.0811,0.0065,0.0801,0.7,1.3
"maker-scaffold235-size190281-snap-gene-1.26-mRNA-1","00672","672",0.063,2773.4,739.6,0.0375,0.0033,0.0871,9.1,64.4
"maker-scaffold235-size190281-snap-gene-1.25-mRNA-1","00673","673",0.04,291.8,98.2,0.0126,6e-04,0.0513,0.2,5
"maker-scaffold235-size190281-augustus-gene-1.22-mRNA-1","00674","674",0.092,966.8,281.2,0.0723,0.0079,0.1087,7.6,30.6
"maker-scaffold235-size190281-snap-gene-1.27-mRNA-1","00675","675",0.024,507.2,134.8,0.0329,0.0011,0.0346,0.6,4.7
"augustus_masked-scaffold235-size190281-abinit-gene-1.1-mRNA-1","00676","676",0.248,655.9,178.1,0.1199,0.0322,0.2683,21.1,47.8
"snap_masked-scaffold235-size190281-abinit-gene-1.15-mRNA-1","00679","679",0.108,1136.3,210.7,0.0528,0.0094,0.1789,10.7,37.7
"maker-scaffold2660-size10402-augustus-gene-0.4-mRNA-1","00684","684",0.047,531.7,134.3,0.0261,0.0019,0.0709,1,9.5
"augustus_masked-scaffold58-size84058-abinit-gene-0.6-mRNA-1","00689","689",0.049,1724,544,0.0602,0.0034,0.0572,5.9,31.1
"maker-scaffold58-size84058-augustus-gene-0.22-mRNA-1","00691","691",0.032,323.8,84.2,0.0799,0.0032,0.0396,1,3.3
"augustus_masked-scaffold58-size84058-abinit-gene-0.0-mRNA-1","00692","692",0.01,640.8,211.2,0.0826,9e-04,0.0108,0.6,2.3
"maker-scaffold58-size84058-augustus-gene-0.28-mRNA-1","00694","694",0.099,994.8,349.2,0.0543,0.006,0.1103,6,38.5
"maker-scaffold58-size84058-augustus-gene-0.30-mRNA-1","00696","696",0.028,877.9,265.1,0.0325,0.0012,0.0366,1,9.7
"maker-scaffold58-size84058-augustus-gene-0.26-mRNA-1","00697","697",0.057,3354.6,1052.4,0.0306,0.0022,0.0723,7.4,76.1
"maker-scaffold58-size84058-augustus-gene-0.25-mRNA-1","00699","699",0.062,730,203,0.0394,0.0033,0.0832,2.4,16.9
"augustus_masked-scaffold2958-size18459-abinit-gene-0.2-mRNA-1","00706","706",0.06,276.3,92.7,0.0393,0.0028,0.0713,0.8,6.6
"maker-scaffold1064-size30493-snap-gene-0.17-mRNA-1","00708","708",0.088,1030.9,265.1,0.0543,0.0064,0.1186,6.6,31.4
"augustus_masked-scaffold893-size51824-abinit-gene-0.0-mRNA-1","00713","713",0.135,709.5,172.5,0.1116,0.0175,0.1573,12.5,27.1
"maker-scaffold893-size51824-augustus-gene-0.22-mRNA-1","00716","716",0.165,768.8,266.2,0.146,0.0219,0.1502,16.9,40
"augustus_masked-scaffold893-size51824-abinit-gene-0.8-mRNA-1","00719","719",0.054,315.2,119.8,0.0968,0.005,0.0519,1.6,6.2
"maker-scaffold893-size51824-augustus-gene-0.27-mRNA-1","00721","721",0.111,1999.8,556.2,0.0824,0.0108,0.131,21.6,72.9
"augustus_masked-scaffold145-size92850-abinit-gene-0.0-mRNA-1","00734","734",0.118,396,111,0.218,0.0221,0.1014,8.7,11.3
"augustus_masked-scaffold149-size45222-abinit-gene-0.0-mRNA-1","00738","738",0.061,1123.5,400.5,0.0868,0.0054,0.0618,6,24.8
"maker-scaffold149-size45222-augustus-gene-0.11-mRNA-1","00739","739",0.05,1160.6,393.4,0.0387,0.0023,0.059,2.6,23.2
"maker-scaffold2388-size29424-augustus-gene-0.7-mRNA-1","00744","744",0.095,593.3,171.7,0.0179,0.0024,0.1332,1.4,22.9
"maker-scaffold2388-size29424-augustus-gene-0.8-mRNA-1","00745","745",0.083,490.3,133.7,0.1594,0.0131,0.0819,6.4,11
"maker-scaffold2388-size29424-augustus-gene-0.9-mRNA-1","00746","746",0.022,709.9,223.1,0.0217,6e-04,0.0289,0.4,6.4
"maker-scaffold2175-size25380-augustus-gene-0.6-mRNA-1","00749","749",0.138,1204.8,358.2,0.0631,0.0104,0.1653,12.6,59.2
"snap_masked-scaffold2175-size25380-abinit-gene-0.2-mRNA-1","00750","750",0.116,781,311,0.1506,0.0149,0.0987,11.6,30.7
"maker-scaffold1511-size21842-augustus-gene-0.7-mRNA-1","00753","753",0.059,2465.8,702.2,0.0438,0.0034,0.0766,8.3,53.8
"maker-scaffold1756-size12442-augustus-gene-0.7-mRNA-1","00759","759",0.02,690.7,209.3,0.0951,0.002,0.0215,1.4,4.5
"snap_masked-scaffold1756-size12442-abinit-gene-0.4-mRNA-1","00760","760",0.142,849.1,254.9,0.0463,0.0082,0.1774,7,45.2
"augustus_masked-scaffold2189-size17455-abinit-gene-0.0-mRNA-1","00763","763",0.169,1295.5,306.5,0.0314,0.0082,0.2603,10.6,79.8
"augustus_masked-scaffold2189-size17455-abinit-gene-0.1-mRNA-1","00764","764",0.102,2371.2,763.8,0.0718,0.0082,0.1145,19.5,87.4
"augustus_masked-scaffold174-size193529-abinit-gene-0.2-mRNA-1","00769","769",0.12,722.9,195.1,0.0669,0.0101,0.1504,7.3,29.3
"maker-scaffold174-size193529-augustus-gene-0.15-mRNA-1","00770","770",0.1,158.2,27.8,0.0418,0.0075,0.1799,1.2,5
"maker-scaffold174-size193529-augustus-gene-0.14-mRNA-1","00771","771",0.112,508.7,181.3,0.0504,0.0063,0.1249,3.2,22.6
"maker-scaffold174-size193529-augustus-gene-1.15-mRNA-1","00777","777",0.026,2912.8,888.2,0.0331,0.0011,0.0338,3.3,30
"maker-scaffold174-size193529-snap-gene-1.21-mRNA-1","00780","780",0.056,819.2,293.8,0.047,0.003,0.0629,2.4,18.5
"maker-scaffold390-size32605-augustus-gene-0.13-mRNA-1","00782","782",0.062,510.2,188.8,0.0429,0.003,0.069,1.5,13
"maker-scaffold390-size32605-augustus-gene-0.12-mRNA-1","00783","783",0.104,1679.4,567.6,0.0437,0.0053,0.1213,8.9,68.9
"maker-scaffold390-size32605-augustus-gene-0.11-mRNA-1","00784","784",0.051,1784.6,510.4,0.0763,0.0046,0.0606,8.2,30.9
"maker-scaffold390-size32605-snap-gene-0.18-mRNA-1","00786","786",0.063,414,135,0.0127,0.001,0.0816,0.4,11
"snap_masked-scaffold553-size31788-abinit-gene-0.7-mRNA-1","00803","803",0.322,145.4,34.6,0.0746,0.0317,0.425,4.6,14.7
"maker-scaffold2029-size32202-augustus-gene-0.11-mRNA-1","00807","807",0.17,298.9,109.1,0.0521,0.0096,0.185,2.9,20.2
"maker-scaffold2905-size19449-augustus-gene-0.7-mRNA-1","00811","811",0.05,443,85,0.0289,0.0026,0.0907,1.2,7.7
"maker-scaffold2905-size19449-snap-gene-0.10-mRNA-1","00812","812",0.076,837,165,0.0441,0.0055,0.1254,4.6,20.7
"maker-scaffold3692-size23074-augustus-gene-0.7-mRNA-1","00815","815",0.093,1106.7,261.3,0.054,0.0071,0.1318,7.9,34.4
"augustus_masked-scaffold892-size45725-abinit-gene-0.0-mRNA-1","00818","818",0.11,602.1,153.9,0.1604,0.0178,0.1111,10.7,17.1
"augustus_masked-scaffold1448-size23905-abinit-gene-0.0-mRNA-1","00819","819",0.08,800.7,225.3,0.0352,0.0038,0.1081,3,24.3
"augustus_masked-scaffold974-size61880-abinit-gene-0.3-mRNA-1","00820","820",0.065,898.8,280.2,0.1015,0.007,0.069,6.3,19.3
"augustus_masked-scaffold974-size61880-abinit-gene-0.11-mRNA-1","00821","821",0.107,411.2,128.8,0.0537,0.0069,0.1277,2.8,16.4
"maker-scaffold974-size61880-augustus-gene-0.25-mRNA-1","00822","822",0.085,296.9,87.1,0.1829,0.0142,0.0774,4.2,6.7
"maker-scaffold974-size61880-augustus-gene-0.27-mRNA-1","00823","823",0.084,449.4,93.6,0.0565,0.0072,0.1277,3.2,11.9
"maker-scaffold974-size61880-augustus-gene-0.28-mRNA-1","00825","825",0.104,749,274,0.0811,0.0086,0.1056,6.4,28.9
"maker-scaffold974-size61880-augustus-gene-0.35-mRNA-1","00828","828",0.174,229.1,64.9,0.1256,0.0228,0.1818,5.2,11.8
"maker-scaffold974-size61880-snap-gene-0.45-mRNA-1","00829","829",0.109,208.6,82.4,0.0273,0.0033,0.1198,0.7,9.9
"maker-scaffold974-size61880-snap-gene-0.48-mRNA-1","00830","830",0.037,552.5,128.5,0.0672,0.0034,0.0503,1.9,6.5
"maker-scaffold974-size61880-snap-gene-0.44-mRNA-1","00831","831",0.082,6264.7,1634.3,0.0841,0.0084,0.0994,52.4,162.4
"maker-scaffold974-size61880-augustus-gene-0.34-mRNA-1","00832","832",0.079,869.5,300.5,0.1101,0.0085,0.0774,7.4,23.3
"augustus_masked-scaffold974-size61880-abinit-gene-0.1-mRNA-1","00833","833",0.174,392.7,156.3,0.0431,0.0079,0.1838,3.1,28.7
"maker-scaffold1020-size54052-augustus-gene-0.7-mRNA-1","00835","835",0.115,926.8,177.2,0.0513,0.0096,0.1883,8.9,33.4
"augustus_masked-scaffold119-size100513-abinit-gene-0.8-mRNA-1","00836","836",0.076,855.2,233.8,0.0323,0.0034,0.1054,2.9,24.7
"maker-scaffold119-size100513-augustus-gene-0.35-mRNA-1","00843","843",0.202,645.4,215.6,0.2583,0.0392,0.1518,25.3,32.7
"augustus_masked-scaffold119-size100513-abinit-gene-0.12-mRNA-1","00845","845",0.076,590.4,189.6,0.0148,0.0015,0.0993,0.9,18.8
"maker-scaffold119-size100513-augustus-gene-0.47-mRNA-1","00848","848",0.114,1076.9,342.1,0.1165,0.0134,0.1154,14.5,39.5
"augustus_masked-scaffold119-size100513-abinit-gene-0.7-mRNA-1","00849","849",0.048,1651.5,589.5,0.0333,0.0018,0.0554,3,32.6
"maker-scaffold119-size100513-augustus-gene-0.48-mRNA-1","00851","851",0.086,1697.6,513.4,0.0781,0.0076,0.0979,13,50.3
"augustus_masked-scaffold4278-size6475-abinit-gene-0.0-mRNA-1","00855","855",0.274,714,201,0.0177,0.0069,0.3904,4.9,78.5
"augustus_masked-scaffold498-size35517-abinit-gene-0.3-mRNA-1","00857","857",0.081,1648.6,454.4,0.0527,0.0055,0.1052,9.1,47.8
"augustus_masked-scaffold498-size35517-abinit-gene-0.0-mRNA-1","00858","858",0.171,4062.1,1145.9,0.101,0.0192,0.1903,78,218
"maker-scaffold1593-size28859-snap-gene-0.4-mRNA-1","00860","860",0.093,862.4,250.6,0.0456,0.0054,0.119,4.7,29.8
"augustus_masked-scaffold488-size33758-abinit-gene-0.1-mRNA-1","00861","861",0.033,965.1,333.9,0.0595,0.0022,0.0366,2.1,12.2
"maker-scaffold488-size33758-snap-gene-0.19-mRNA-1","00863","863",0.046,1652,517,0.0746,0.0039,0.0517,6.4,26.7
"maker-scaffold1434-size29175-snap-gene-0.9-mRNA-1","00869","869",0.075,1140.3,365.7,0.0746,0.0063,0.0839,7.1,30.7
"maker-scaffold271-size67337-augustus-gene-0.18-mRNA-1","00870","870",0.071,627.1,167.9,0.033,0.0033,0.0995,2.1,16.7
"maker-scaffold271-size67337-augustus-gene-0.19-mRNA-1","00871","871",0.139,503.5,162.5,0.0574,0.0093,0.1616,4.7,26.3
"augustus_masked-scaffold271-size67337-abinit-gene-0.6-mRNA-1","00875","875",0.095,706.7,154.3,0.0346,0.0053,0.152,3.7,23.5
"augustus_masked-scaffold271-size67337-abinit-gene-0.2-mRNA-1","00876","876",0.045,235.8,88.2,0.0614,0.0029,0.0472,0.7,4.2
"maker-scaffold271-size67337-snap-gene-0.27-mRNA-1","00878","878",0.05,797.4,225.6,0.0433,0.0028,0.0656,2.3,14.8
"maker-scaffold685-size54078-augustus-gene-0.11-mRNA-1","00882","882",0.006,705.2,233.8,0.071,4e-04,0.0061,0.3,1.4
